"Tw","area","enthalpy","heat_flux_perimeter","heat_transfer_coefficient","hydraulic_diameter","pressure","rho","rhoA","rhoE","rhoEA","rhoe","rhou","rhouA","temperature","u","GlobalNodeId","PedigreeNodeId","Points:0","Points:1","Points:2"
0,0.0001,998407,0.0354491,0,0.0112838,6e+06,808.71,0.080871,8.01422e+08,80142.2,8.0142e+08,1617.42,0.161742,507.406,2,53,53,5,0,0
0,0.0001,998407,0.0354491,0,0.0112838,6e+06,808.71,0.080871,8.01422e+08,80142.2,8.0142e+08,1617.42,0.161742,507.406,2,54,54,5.1,0,0
0,0.0001,998407,0.0354491,0,0.0112838,6e+06,808.71,0.080871,8.01422e+08,80142.2,8.0142e+08,1617.42,0.161742,507.406,2,55,55,5.2,0,0
0,0.0001,998407,0.0354491,0,0.0112838,6e+06,808.71,0.080871,8.01422e+08,80142.2,8.0142e+08,1617.42,0.161742,507.406,2,56,56,5.3,0,0
0,0.0001,998407,0.0354491,0,0.0112838,6e+06,808.71,0.080871,8.01422e+08,80142.2,8.0142e+08,1617.42,0.161742,507.406,2,57,57,5.4,0,0
0,0.0001,998407,0.0354491,0,0.0112838,6e+06,808.71,0.080871,8.01422e+08,80142.2,8.0142e+08,1617.42,0.161742,507.406,2,58,58,5.5,0,0
0,0.0001,998407,0.0354491,0,0.0112838,6e+06,808.71,0.080871,8.01422e+08,80142.2,8.0142e+08,1617.42,0.161742,507.406,2,59,59,5.6,0,0
0,0.0001,998407,0.0354491,0,0.0112838,6e+06,808.71,0.080871,8.01422e+08,80142.2,8.0142e+08,1617.42,0.161742,507.406,2,60,60,5.7,0,0
0,0.0001,998407,0.0354491,0,0.0112838,6e+06,808.71,0.080871,8.01422e+08,80142.2,8.0142e+08,1617.42,0.161742,507.406,2,61,61,5.8,0,0
0,0.0001,998407,0.0354491,0,0.0112838,6e+06,808.71,0.080871,8.01422e+08,80142.2,8.0142e+08,1617.42,0.161742,507.406,2,62,62,5.9,0,0
0,0.0001,998407,0.0354491,0,0.0112838,6e+06,808.71,0.080871,8.01422e+08,80142.2,8.0142e+08,1617.42,0.161742,507.406,2,63,63,6,0,0
